Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),file_path
apple,macbook pro,ultrabook,"13.3""",ips panel retina display 2560x1600,intel core i5 2.3ghz,8gb,128gb ssd,intel iris plus graphics 640,macos,,1.37kg,"1339,69",apple.jpeg
apple,macbook air,ultrabook,"13.3""",1440x900,intel core i5 1.8ghz,8gb,128gb flash storage,intel hd graphics 6000,macos,,1.34kg,"898,94",apple.jpeg
hp,250 g6,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,no os,,1.86kg,"575,00",hp.jpeg
apple,macbook pro,ultrabook,"15.4""",ips panel retina display 2880x1800,intel core i7 2.7ghz,16gb,512gb ssd,amd radeon pro 455,macos,,1.83kg,"2537,45",apple.jpeg
apple,macbook pro,ultrabook,"13.3""",ips panel retina display 2560x1600,intel core i5 3.1ghz,8gb,256gb ssd,intel iris plus graphics 650,macos,,1.37kg,"1803,60",apple.jpeg
acer,aspire 3,notebook,"15.6""",1366x768,amd a9-series 9420 3ghz,4gb,500gb hdd,amd radeon r5,windows,10,2.1kg,"400,00",default.jpg
apple,macbook pro,ultrabook,"15.4""",ips panel retina display 2880x1800,intel core i7 2.2ghz,16gb,256gb flash storage,intel iris pro graphics,mac os,x,2.04kg,"2139,97",apple.jpeg
apple,macbook air,ultrabook,"13.3""",1440x900,intel core i5 1.8ghz,8gb,256gb flash storage,intel hd graphics 6000,macos,,1.34kg,"1158,70",apple.jpeg
asus,zenbook ux430un,ultrabook,"14.0""",full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,512gb ssd,nvidia geforce mx150,windows,10,1.3kg,"1495,00",default.jpg
acer,swift 3,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows,10,1.6kg,"770,00",default.jpg
hp,250 g6,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,no os,,1.86kg,"393,90",hp.jpeg
